ガンゴッシュ 	 Gangos
最上層 	 Upper Section
電脳空間C 	 Ego Collective C
封鎖区画A 	 Closed Area A
封鎖区画B 	 Closed Area B
迎撃区画A 	 Staging Node A
迎撃区画B 	 Staging Node B
迎撃区画C 	 Staging Node C
迎撃区画D 	 Staging Node D
昇降機 	 Ascension Platform
頂上 	 Beyond
ザトゥノル高原 	 Zadnor
Gセイヴァー戦闘甲板 	 G-Savior Deck
ヴァルデニス前哨地 	 Camp Vrdelnis
スピタク陣地 	 Zuprtik Point
イジェバン陣地 	 Ljeban Point
アルマヴィル陣地 	 Hrmovir Point
高原南方台地 	 The Southern Plateau
高原西方台地 	 The Western Plateau
高原北方台地 	 The Northern Plateau
カステッルム・ザトゥノル 	 Castellum Zadnori
旗艦ダル・リアータ：前部 	 The War Bow
旗艦ダル・リアータ：中枢 	 The Founder's Deck
アラグ試掘坑 	 The Allagan Pits
旗艦停泊地 	 Flagship Landing
搬入出区画 	 Loading Dock
搬入出制御室 	 Cargo Administration
魔導研究区画 	 Magitek Development
動力制御区画 	 Dynamic Systems
大型格納区画 	 The Greater Hold
崩落した試掘坑 	 The Fallen Ring
旗艦ダル・リアータ 	 The Dalriada
エッグドリーム鶏舎 	 The Dreamer's Run
月の底 	 The Dark Inside
マザークリスタル 	 The Mothercrystal
果ての終焉 	 The Final Day
