選者殿のジュードは、困っているようだ。			選者殿のジュードは、困っているようだ。			蒼の星を探して							
深淵の闇に包まれし魂……悲痛な叫びは血の雨となって降り注ぐ……我が心に巣食う猛毒よ、この世界を無に還せ……！			深淵の闇に包まれし魂……悲痛な叫びは血の雨となって降り注ぐ……我が心に巣食う猛毒よ、この世界を無に還せ……！			吟じます							
あー、うん。やっぱり、初対面の他人にジュードのことを知ってもらうなら、詩はよしておいたほうが良さそうだな……。			あー、うん。やっぱり、初対面の他人にジュードのことを知ってもらうなら、詩はよしておいたほうが良さそうだな……。			吟じます							
ともかく、だ。詩吟同好会って集まりは、こんな感じで、毎日イケてる日々を送ってるわけだ。			ともかく、だ。詩吟同好会って集まりは、こんな感じで、毎日イケてる日々を送ってるわけだ。			吟じます							
お前の頭脳があれば、学部の移籍も問題ないだろう。次に来るときまでには、ちゃんと文法学部への移籍と、詩吟同好会への加入を考えておいてくれよな！			お前の頭脳があれば、学部の移籍も問題ないだろう。次に来るときまでには、ちゃんと文法学部への移籍と、詩吟同好会への加入を考えておいてくれよな！			吟じます							
彼が気を遣ってくれているのは、よくわかります。でも、「蒼の星」を見つけるという夢を、諦めることなんて……。			彼が気を遣ってくれているのは、よくわかります。でも、「蒼の星」を見つけるという夢を、諦めることなんて……。			吟じます							
何と言う？			何と言う？			吟じます							
諦めるな			諦めるな			吟じます							
お前の覚悟はそんなものか？			お前の覚悟はそんなものか？			吟じます							
うじうじするな！！！			うじうじするな！！！			吟じます							
……そう、ですね……。僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！			……そう、ですね……。僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！			吟じます							
気弱な僕をいつも引っ張ってくれて、ありがとうございます、Surnameさん……！			気弱な僕をいつも引っ張ってくれて、ありがとうございます、Surnameさん……！			吟じます							
ひぃぃぃ～！怒鳴らないでください～！！			ひぃぃぃ～！怒鳴らないでください～！！			吟じます							
って、僕、そんなにうじうじしてましたっけ……？もしやこれは、Surnameさんなりの、激励ということですね……？			って、僕、そんなにうじうじしてましたっけ……？もしやこれは、Surnameさんなりの、激励ということですね……？			吟じます							
僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！だから、素直に自分の気持ちに従います……！			僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！だから、素直に自分の気持ちに従います……！			吟じます							
それにしても、なぜジェロメールは、ああまでして僕を天文学部から遠ざけたいのか……。彼だって、星が大好きだったはずなのに……。			それにしても、なぜジェロメールは、ああまでして僕を天文学部から遠ざけたいのか……。彼だって、星が大好きだったはずなのに……。			吟じます							
ともかく……Surnameさん、今回もご協力いただきありがとうございます。引き続き、よろしくお願いします……！			ともかく……Surnameさん、今回もご協力いただきありがとうございます。引き続き、よろしくお願いします……！			吟じます							
よし、今回もSurnameさんのおかげで、僕の心が「プリン並み」の柔らかハートから、「チョコボ並み」の繊細ハートに成長した気がするぞ……。			よし、今回もSurnameさんのおかげで、僕の心が「プリン並み」の柔らかハートから、「チョコボ並み」の繊細ハートに成長した気がするぞ……。			吟じます							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「突然距離感を縮めたりしてこない人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「突然距離感を縮めたりしてこない人」と感じているようです！			吟じます							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル85以上になると、工匠殿の「ジュード」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル85以上になると、工匠殿の「ジュード」から受注可能です。			吟じます							
工匠殿のジュードは、次の製作を頼みたいようだ。			工匠殿のジュードは、次の製作を頼みたいようだ。			小さな一歩							
ジュードから部品の製作を依頼された。「エーテル増幅部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「エーテル増幅部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			小さな一歩							
ジュードに「エーテル増幅部材」を納品した。ジュードの協力願いに応える準備ができたら、ふたたび彼に声をかけよう。			ジュードに「エーテル増幅部材」を納品した。ジュードの協力願いに応える準備ができたら、ふたたび彼に声をかけよう。			小さな一歩							
ジュードにエーテル増幅部材を納品			ジュードにエーテル増幅部材を納品			小さな一歩							
さて、それでは次の部品の製作を依頼させてください。			さて、それでは次の部品の製作を依頼させてください。			小さな一歩							
今回、お願いしたいのは、星見鏡を操作するために必要な部品です。			今回、お願いしたいのは、星見鏡を操作するために必要な部品です。			小さな一歩							
問題は、星見鏡を操作するには、一種の魔法のような術式を扱うことになるという点です。			問題は、星見鏡を操作するには、一種の魔法のような術式を扱うことになるという点です。			小さな一歩							
僕にも少しは魔法の心得があるんですが、星見鏡を操るには、多くの魔力が必要なようでして……			僕にも少しは魔法の心得があるんですが、星見鏡を操るには、多くの魔力が必要なようでして……			小さな一歩							
そこで、僕の魔力を底上げするための、「エーテル増幅部材」を作っていただきたいのです……！			そこで、僕の魔力を底上げするための、「エーテル増幅部材」を作っていただきたいのです……！			小さな一歩							
Surnameさんには、製作から僕のメンタルケアまで、お手数をおかけしますが……よろしくお願いします……！			Surnameさんには、製作から僕のメンタルケアまで、お手数をおかけしますが……よろしくお願いします……！			小さな一歩							
僕の魔力を底上げするための、「エーテル増幅部材」を作ってください……！			僕の魔力を底上げするための、「エーテル増幅部材」を作ってください……！			小さな一歩							
製作ありがとうございます……！確かにいただきました。			製作ありがとうございます……！確かにいただきました。			小さな一歩							
製作ありがとうございます……！思わずため息が漏れるほど、美しい仕上がりですね……。			製作ありがとうございます……！思わずため息が漏れるほど、美しい仕上がりですね……。			小さな一歩							
ひととおり、納品物の確認が終わりました。だんだん、星見鏡に必要な部品が揃ってきましたね。			ひととおり、納品物の確認が終わりました。だんだん、星見鏡に必要な部品が揃ってきましたね。			小さな一歩							
よう、ジュード。今日もイケてるジェロメールさんがやってきたぜ。			よう、ジュード。今日もイケてるジェロメールさんがやってきたぜ。			小さな一歩							
僕の人生で出会ったことがないタイプの人たちだ……。もしかして、僕から強制的にお金を借りようと……？す、すぐに大学の警備部に連絡しないと……			僕の人生で出会ったことがないタイプの人たちだ……。もしかして、僕から強制的にお金を借りようと……？す、すぐに大学の警備部に連絡しないと……			小さな一歩							
心の声が出ちゃってるぞ、ジュード。			心の声が出ちゃってるぞ、ジュード。			小さな一歩							
なあに、怯えることはない。このふたりはな、詩吟同好会のメンバーなんだ。ジュードに紹介しておきたくて、連れてきたのさ。			なあに、怯えることはない。このふたりはな、詩吟同好会のメンバーなんだ。ジュードに紹介しておきたくて、連れてきたのさ。			小さな一歩							
よろしくね！　ジュード君！			よろしくね！　ジュード君！			小さな一歩							
しゃべった！！			しゃべった！！			小さな一歩							
そりゃ喋るだろ……。こいつらのこと何だと思ってるんだ……。			そりゃ喋るだろ……。こいつらのこと何だと思ってるんだ……。			小さな一歩							
キミがジュード君お抱えの職人さんかい？機会があったら、ウチの詩吟同好会にも遊びに来てくれよな！			キミがジュード君お抱えの職人さんかい？機会があったら、ウチの詩吟同好会にも遊びに来てくれよな！			小さな一歩							
どうだ、気の良い奴らだろ？きっとお前も仲良くなれると思うぜ！これから3人で、ラストスタンドにでも行ってきたらどうだ？			どうだ、気の良い奴らだろ？きっとお前も仲良くなれると思うぜ！これから3人で、ラストスタンドにでも行ってきたらどうだ？			小さな一歩							
ジェロメールは、大学に馴染めていない僕のことを思って、彼らを紹介してくれたんだろうな……。ありがとう、その気遣いが嬉しいよ……。			ジェロメールは、大学に馴染めていない僕のことを思って、彼らを紹介してくれたんだろうな……。ありがとう、その気遣いが嬉しいよ……。			小さな一歩							
絶対、ムリ……。			絶対、ムリ……。			小さな一歩							
今は星見鏡の製作で忙しいから、またの機会に是非……。			今は星見鏡の製作で忙しいから、またの機会に是非……。			小さな一歩							
ハァ、まだそんなイケてないことを言ってるのか。			ハァ、まだそんなイケてないことを言ってるのか。			小さな一歩							
いいかジュード、これだけは聞いてくれ。このまま天文学部にいても、お前は時間を無駄にするだけだ。後悔することになるんだぞ。			いいかジュード、これだけは聞いてくれ。このまま天文学部にいても、お前は時間を無駄にするだけだ。後悔することになるんだぞ。			小さな一歩							
どうしてそんなことがわかるの？			どうしてそんなことがわかるの？			小さな一歩							
それは……だな……。			それは……だな……。			小さな一歩							
そりゃわかるさ、だってコイツは……			そりゃわかるさ、だってコイツは……			小さな一歩							
余計なことは言わなくていい。ジュードの紹介も済んだし、今日はもう帰るぞ。			余計なことは言わなくていい。ジュードの紹介も済んだし、今日はもう帰るぞ。			小さな一歩							
はぁぁぁ……知らない人がいると緊張するな……。以前なら、彼らがやってきた時点で気を失っていただろうな……。そう考えると、成長したとも言えるのか……。			はぁぁぁ……知らない人がいると緊張するな……。以前なら、彼らがやってきた時点で気を失っていただろうな……。そう考えると、成長したとも言えるのか……。			小さな一歩							
何と言う？			何と言う？			小さな一歩							
頑張ったな			頑張ったな			小さな一歩							
いい傾向だ			いい傾向だ			小さな一歩							
うじうじするな！！！！			うじうじするな！！！！			小さな一歩							
ありがとうございます！それもこれも、あなたに鍛えられたおかげです。この調子で、ひとりの人間としてもっと成長したいですね！			ありがとうございます！それもこれも、あなたに鍛えられたおかげです。この調子で、ひとりの人間としてもっと成長したいですね！			小さな一歩							
いや、うじうじしてませんよ！			いや、うじうじしてませんよ！			小さな一歩							
え……僕が……言い返した？Surnameさんと出会ってから、いつの間にか、こんなに堂々と話せるようになっていたのか……。			え……僕が……言い返した？Surnameさんと出会ってから、いつの間にか、こんなに堂々と話せるようになっていたのか……。			小さな一歩							
そうか、彼女彼は、そのことを確かめるために……。			そうか、彼女彼は、そのことを確かめるために……。			小さな一歩							
……ともかく、星見鏡の製作は、いよいよ佳境に入りました。			……ともかく、星見鏡の製作は、いよいよ佳境に入りました。			小さな一歩							
しかし、星見鏡を完成させる前に、ひとつ確かめておきたいことがあるんです……。			しかし、星見鏡を完成させる前に、ひとつ確かめておきたいことがあるんです……。			小さな一歩							
あなたにも協力をお願いしたいことがあるので、お手すきの時に声をかけてください。			あなたにも協力をお願いしたいことがあるので、お手すきの時に声をかけてください。			小さな一歩							
よし、今回もSurnameさんのおかげで、僕の心が「チョコボ並み」の繊細ハートから、「ゴブリン並み」の控え目ハートに成長した気がするぞ……。			よし、今回もSurnameさんのおかげで、僕の心が「チョコボ並み」の繊細ハートから、「ゴブリン並み」の控え目ハートに成長した気がするぞ……。			小さな一歩							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「優しい人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「優しい人」と感じているようです！			小さな一歩							
また、「ジュード」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「ジュード」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			小さな一歩							
工匠殿のジュードは、何かを決意したようだ。			工匠殿のジュードは、何かを決意したようだ。			10年前の約束							
ジェロメールを探す			ジェロメールを探す			10年前の約束							
製作手帳 魔法大学取引：イケてる筆記具を製作イケてる男子学生にイケてる筆記具を納品			製作手帳 魔法大学取引：イケてる筆記具を製作イケてる男子学生にイケてる筆記具を納品			10年前の約束							
ジェロメールと話す			ジェロメールと話す			10年前の約束							
ジェロメールと再度話す			ジェロメールと再度話す			10年前の約束							
ジュードと話す			ジュードと話す			10年前の約束							
前回、僕は星見鏡の完成を前に、確かめておきたいことがあると言いましたね。それは、ジェロメールのことです。			前回、僕は星見鏡の完成を前に、確かめておきたいことがあると言いましたね。それは、ジェロメールのことです。			10年前の約束							
魔法大学でジェロメールと再会してから、僕は彼とちゃんと話をしようとしてこなかった。			魔法大学でジェロメールと再会してから、僕は彼とちゃんと話をしようとしてこなかった。			10年前の約束							
どうして、10年前の約束について語ろうとしないのか。なぜ、僕に天文学部を辞めさせようとするのか。彼に直接問いただして、真意を知りたかった。			どうして、10年前の約束について語ろうとしないのか。なぜ、僕に天文学部を辞めさせようとするのか。彼に直接問いただして、真意を知りたかった。			10年前の約束							
でも、僕にはその勇気がなかった……。もしも彼が、天文学への興味を失っていたら……僕と彼を繋ぐ唯一のものがなくなってしまうと思って……。			でも、僕にはその勇気がなかった……。もしも彼が、天文学への興味を失っていたら……僕と彼を繋ぐ唯一のものがなくなってしまうと思って……。			10年前の約束							
ですが、あなたとの星見鏡製作を通して、僕は少しだけ変われた……気がするんです。			ですが、あなたとの星見鏡製作を通して、僕は少しだけ変われた……気がするんです。			10年前の約束							
10年前、蒼の星を見つけた沈思の森で、ジェロメールと話をしようと思います。			10年前、蒼の星を見つけた沈思の森で、ジェロメールと話をしようと思います。			10年前の約束							
きっと、僕が彼を呼び出したところで、いつものようにかわされてしまうでしょう。			きっと、僕が彼を呼び出したところで、いつものようにかわされてしまうでしょう。			10年前の約束							
だから、Surnameさん、僕のことは伏せて、彼を呼び出してもらえませんか？			だから、Surnameさん、僕のことは伏せて、彼を呼び出してもらえませんか？			10年前の約束							
ありがとうございます！彼が所属している詩吟同好会は、よく「パフィン広場」で詩を詠んでいるという話でしたね。			ありがとうございます！彼が所属している詩吟同好会は、よく「パフィン広場」で詩を詠んでいるという話でしたね。			10年前の約束							
それでは、僕は沈思の森の近くで、彼が来るのを待っていますね。			それでは、僕は沈思の森の近くで、彼が来るのを待っていますね。			10年前の約束							
キミは、古典天文学研究会お抱えの職人さん……だったよね。オレに何か用かい？まさか、本当にウチの同好会に遊びに来たわけじゃないっしょ？			キミは、古典天文学研究会お抱えの職人さん……だったよね。オレに何か用かい？まさか、本当にウチの同好会に遊びに来たわけじゃないっしょ？			10年前の約束							
ジェロメールを探しているって？教えてやってもいいけど、人に物を頼むなら、まずこっちのお願いを聞いてくれよな！			ジェロメールを探しているって？教えてやってもいいけど、人に物を頼むなら、まずこっちのお願いを聞いてくれよな！			10年前の約束							
実は、オレには気になっている女の子がいてね……数日前に告白したんだが、断られてしまったのさ……。			実は、オレには気になっている女の子がいてね……数日前に告白したんだが、断られてしまったのさ……。			10年前の約束							
……ん？こんなにイケてるオレがフラれるなんておかしい。そう言いたいのかい？			……ん？こんなにイケてるオレがフラれるなんておかしい。そう言いたいのかい？			10年前の約束							
何と言う？			何と言う？			10年前の約束							
用件は？			用件は？			10年前の約束							
さっさと話せ			さっさと話せ			10年前の約束							
……せっかちなヤツだな、まぁいいさ。イケてるオレがさらに輝くために、「イケてる筆記具」を作ってほしいんだ。			……せっかちなヤツだな、まぁいいさ。イケてるオレがさらに輝くために、「イケてる筆記具」を作ってほしいんだ。			10年前の約束							
もちろん、材料はこちらで用意させてもらうよ。この気配りこそ、オレがイケてる男である証左というわけさ。			もちろん、材料はこちらで用意させてもらうよ。この気配りこそ、オレがイケてる男である証左というわけさ。			10年前の約束							
材料が足りなくなったら、横の男から調達してくれ。コイツには何度も金を貸してるが、一向に返してくれないんだ。筆記具の材料でチャラにしてやろうってわけさ。			材料が足りなくなったら、横の男から調達してくれ。コイツには何度も金を貸してるが、一向に返してくれないんだ。筆記具の材料でチャラにしてやろうってわけさ。			10年前の約束							
オレが破産する前に完成させろよな……。			オレが破産する前に完成させろよな……。			10年前の約束							
ん？アンタだれ？オレたちに何か用でもあんの？			ん？アンタだれ？オレたちに何か用でもあんの？			10年前の約束							
「イケてる筆記具」が完成したら、オレに渡してくれよ。			「イケてる筆記具」が完成したら、オレに渡してくれよ。			10年前の約束							
な、なんてイケてるんだ……！この筆記具があれば、イケてる詩が書けそうだぜ！よし、こいつを持ってもう一度あの子にアタックだ！			な、なんてイケてるんだ……！この筆記具があれば、イケてる詩が書けそうだぜ！よし、こいつを持ってもう一度あの子にアタックだ！			10年前の約束							
さて、ジェロメールの居場所だったな。おそらく、今ごろは「知神の港」でたそがれてるはずだぜ。			さて、ジェロメールの居場所だったな。おそらく、今ごろは「知神の港」でたそがれてるはずだぜ。			10年前の約束							
アイツ、なんかノリわりィんだよな。			アイツ、なんかノリわりィんだよな。			10年前の約束							
まぁそう言うなよ。途中でウチの同好会に移籍してきたから、まだ馴染めてないだけさ。			まぁそう言うなよ。途中でウチの同好会に移籍してきたから、まだ馴染めてないだけさ。			10年前の約束							
ジェロメールって、元々どこの学部にいたんだ？			ジェロメールって、元々どこの学部にいたんだ？			10年前の約束							
その話を勝手にすると怒られるからなぁ……。他のヤツに聞いてくれ。			その話を勝手にすると怒られるからなぁ……。他のヤツに聞いてくれ。			10年前の約束							
ふーん……。知られたくないことでもあんのか……。			ふーん……。知られたくないことでもあんのか……。			10年前の約束							
ともかく、筆記具のことはありがとな。ジェロメールに会いたきゃ、「知神の港」に行くことだ。			ともかく、筆記具のことはありがとな。ジェロメールに会いたきゃ、「知神の港」に行くことだ。			10年前の約束							
材料が足りなきゃオレに言えよ。チッ、こんなことならさっさと金を返しておけば……。			材料が足りなきゃオレに言えよ。チッ、こんなことならさっさと金を返しておけば……。			10年前の約束							
どうにか無一文にならずに済んだ……。			どうにか無一文にならずに済んだ……。			10年前の約束							
おや、アンタはジュードの所の職人さんじゃないか。オレに何か用か？			おや、アンタはジュードの所の職人さんじゃないか。オレに何か用か？			10年前の約束							
何と言う？			何と言う？			10年前の約束							
ジュードのことで相談したい			ジュードのことで相談したい			10年前の約束							
話したいことがある			話したいことがある			10年前の約束							
ジュードのことで話したいことがあるってか……。			ジュードのことで話したいことがあるってか……。			10年前の約束							
まぁいいさ。今回はアンタに免じて乗ってやるとするか。			まぁいいさ。今回はアンタに免じて乗ってやるとするか。			10年前の約束							
それで、どこで話すんだ？			それで、どこで話すんだ？			10年前の約束							
沈思の森だな？わかった、先に行ってるぞ。			沈思の森だな？わかった、先に行ってるぞ。			10年前の約束							
筆記具、大事に使わせてもらうぜ。ジェロメールと話したきゃ、「知神の港」に行きな。			筆記具、大事に使わせてもらうぜ。ジェロメールと話したきゃ、「知神の港」に行きな。			10年前の約束							
ジェロメールのヤツ、ウチにくる前に何があったんだ……？			ジェロメールのヤツ、ウチにくる前に何があったんだ……？			10年前の約束							
それで、話ってのは？			それで、話ってのは？			10年前の約束							
……やっぱ、そういうことだよな。			……やっぱ、そういうことだよな。			10年前の約束							
気づいてたんだね。やっぱり、僕がジェロメールを出し抜くなんて無理だったか。			気づいてたんだね。やっぱり、僕がジェロメールを出し抜くなんて無理だったか。			10年前の約束							
それでも……この場所で、君とちゃんと話がしたかったんだ。			それでも……この場所で、君とちゃんと話がしたかったんだ。			10年前の約束							
ねえ、ジェロメール。どうして天文学部を辞めたの？			ねえ、ジェロメール。どうして天文学部を辞めたの？			10年前の約束							
……知っていたのか。オレが、かつて天文学部に所属していたことを……。			……知っていたのか。オレが、かつて天文学部に所属していたことを……。			10年前の約束							
本気で調べたら、いつかはわかることだよ。君だって、いつまでも隠し通せるとは思ってなかったはずだ。どうして天文学部を辞めたのか、理由を教えてほしい。			本気で調べたら、いつかはわかることだよ。君だって、いつまでも隠し通せるとは思ってなかったはずだ。どうして天文学部を辞めたのか、理由を教えてほしい。			10年前の約束							
それは…………			それは…………			10年前の約束							
10年前、この場所で約束したじゃないか。必ず、僕たちが「蒼の星」を見つけようって！			10年前、この場所で約束したじゃないか。必ず、僕たちが「蒼の星」を見つけようって！			10年前の約束							
それが、どうして……もう天文学のことなんて嫌いになったのかい……？			それが、どうして……もう天文学のことなんて嫌いになったのかい……？			10年前の約束							
……嫌いになんて、なれるはずがないさ……。「蒼の星」を見つけることは、オレの「夢」だったんだから……。			……嫌いになんて、なれるはずがないさ……。「蒼の星」を見つけることは、オレの「夢」だったんだから……。			10年前の約束							
オレが天文学部に所属していたことを知ったように、いまから話す真実にも、いずれお前はたどり着いただろうな……。			オレが天文学部に所属していたことを知ったように、いまから話す真実にも、いずれお前はたどり着いただろうな……。			10年前の約束							
オレはジュードよりも1歳だけ年上だからな。必死こいて勉強して魔法大学を受験……どうにか合格を掴み取った。			オレはジュードよりも1歳だけ年上だからな。必死こいて勉強して魔法大学を受験……どうにか合格を掴み取った。			10年前の約束							
どの学部を受験したのか秘密にしていたのは、一足先に天文学部に入り、10年前の約束を果たすため……。お前を、驚かせようとしたのさ。			どの学部を受験したのか秘密にしていたのは、一足先に天文学部に入り、10年前の約束を果たすため……。お前を、驚かせようとしたのさ。			10年前の約束							
自由に望遠鏡が使えるってんで、古典天文学研究会に所属したのも同じ流れさ。とにかく「蒼の星」を見つけてやろうと意気込んでたっけ……。			自由に望遠鏡が使えるってんで、古典天文学研究会に所属したのも同じ流れさ。とにかく「蒼の星」を見つけてやろうと意気込んでたっけ……。			10年前の約束							
それから何ヶ月も……来る日も来る日も、天候が許す限り、オレは天体観測を続けた。			それから何ヶ月も……来る日も来る日も、天候が許す限り、オレは天体観測を続けた。			10年前の約束							
……だが、一向に「蒼の星」は見つからなかった。			……だが、一向に「蒼の星」は見つからなかった。			10年前の約束							
それでもオレは諦めなかった。望遠鏡の性能が原因と考えたオレは、顔見知りの教授から、最新式の望遠鏡を特別に借り受けて、観測を続けたんだ。			それでもオレは諦めなかった。望遠鏡の性能が原因と考えたオレは、顔見知りの教授から、最新式の望遠鏡を特別に借り受けて、観測を続けたんだ。			10年前の約束							
だが、魔法大学の中でも、最高の光学的性能を誇る最新式の望遠鏡をもってしても、蒼の星が放つ光を捉えることはできなかった……。			だが、魔法大学の中でも、最高の光学的性能を誇る最新式の望遠鏡をもってしても、蒼の星が放つ光を捉えることはできなかった……。			10年前の約束							
日に日に疲弊していったオレは、やがてひとつの結論に至った。			日に日に疲弊していったオレは、やがてひとつの結論に至った。			10年前の約束							
「蒼の星」なんてものは、最初からなかったんだ。あの時、大人たちが、魔法大学の職員たちが言ったように、子どもだったオレたちの勘違いだったのさ。			「蒼の星」なんてものは、最初からなかったんだ。あの時、大人たちが、魔法大学の職員たちが言ったように、子どもだったオレたちの勘違いだったのさ。			10年前の約束							
蒼の星が……ない？			蒼の星が……ない？			10年前の約束							
そんな……それが本当なら……どうして黙っていたの……？			そんな……それが本当なら……どうして黙っていたの……？			10年前の約束							
オレと同様、お前にとっても、「蒼の星」を見つけることは、子どもの頃からの夢だったはずだ。それが、最初から存在しなかっただなんて、言えるわけがない……。			オレと同様、お前にとっても、「蒼の星」を見つけることは、子どもの頃からの夢だったはずだ。それが、最初から存在しなかっただなんて、言えるわけがない……。			10年前の約束							
蒼の星なんてなかった……。じゃあ、いままで僕は何のために……。			蒼の星なんてなかった……。じゃあ、いままで僕は何のために……。			10年前の約束							
お前の気持ちは、痛いほどよくわかるよ。「蒼の星」を忘れるには、しばらく時間が必要だってこともな。			お前の気持ちは、痛いほどよくわかるよ。「蒼の星」を忘れるには、しばらく時間が必要だってこともな。			10年前の約束							
ただ、これだけは忘れないでくれよ、ジュード。オレはいつでもお前の味方だ。			ただ、これだけは忘れないでくれよ、ジュード。オレはいつでもお前の味方だ。			10年前の約束							
Surnameさん……「蒼の星」という夢を失った僕は、これからどうすればいいんでしょうか……？			Surnameさん……「蒼の星」という夢を失った僕は、これからどうすればいいんでしょうか……？			10年前の約束							
何と言う？			何と言う？			10年前の約束							
ジュードはどうしたい？			ジュードはどうしたい？			10年前の約束							
自分で考えて決めるんだ			自分で考えて決めるんだ			10年前の約束							
そうか……そうですよね……。自分の道を誰かに決めてもらうのは楽だけど、僕にとって何が正しいかなんて、僕にしかわからないんだ……。			そうか……そうですよね……。自分の道を誰かに決めてもらうのは楽だけど、僕にとって何が正しいかなんて、僕にしかわからないんだ……。			10年前の約束							
工匠殿に戻りましょう！僕には、まだやるべきことがある！			工匠殿に戻りましょう！僕には、まだやるべきことがある！			10年前の約束							
ジェロメールは、「蒼の星が存在しない」と言いました。だけど僕は、10年前に彼と観たあの輝きを信じたい……。			ジェロメールは、「蒼の星が存在しない」と言いました。だけど僕は、10年前に彼と観たあの輝きを信じたい……。			10年前の約束							
きっと、彼や10年前の天文学部の方々が、見落としていることがあるはず……！			きっと、彼や10年前の天文学部の方々が、見落としていることがあるはず……！			10年前の約束							
それに、光学的性能に優れた望遠鏡で見つけられなくとも、星見鏡なら、あるいは……。			それに、光学的性能に優れた望遠鏡で見つけられなくとも、星見鏡なら、あるいは……。			10年前の約束							
ともかく、ジェロメールが何と言おうと、僕は、諦めません……。10年間追い続けてきた夢を、そう簡単に捨てるわけにはいかない！			ともかく、ジェロメールが何と言おうと、僕は、諦めません……。10年間追い続けてきた夢を、そう簡単に捨てるわけにはいかない！			10年前の約束							
僕ひとりではジェロメールに追いつけなくても、あなたとなら、追い越せる気がするんです！どうか、引き続き星見鏡の製作に力を貸してください！			僕ひとりではジェロメールに追いつけなくても、あなたとなら、追い越せる気がするんです！どうか、引き続き星見鏡の製作に力を貸してください！			10年前の約束							
何と言う？			何と言う？			10年前の約束							
最後まで見届けよう			最後まで見届けよう			10年前の約束							
仕方ないな			仕方ないな			10年前の約束							
……ありがとうございます！それでは準備が出来次第、製作を再開しましょう！			……ありがとうございます！それでは準備が出来次第、製作を再開しましょう！			10年前の約束							
Surnameさんの励ましを受けて、僕の心が「ゴブリン並み」の控え目ハートから、「ボム並み」の熱血ハートに成長した気がするぞ……！			Surnameさんの励ましを受けて、僕の心が「ゴブリン並み」の控え目ハートから、「ボム並み」の熱血ハートに成長した気がするぞ……！			10年前の約束							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル88以上になると、工匠殿の「ジュード」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル88以上になると、工匠殿の「ジュード」から受注可能です。			10年前の約束							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			10年前の約束							
工匠殿のジュードは、星見鏡の製作を続けたいようだ。			工匠殿のジュードは、星見鏡の製作を続けたいようだ。			ジュードの成長							
ジュードから部品の製作を依頼された。「エーテル伝導部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「エーテル伝導部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ジュードの成長							
ジュードに「エーテル伝導部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードに「エーテル伝導部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードの成長							
ジュードにエーテル伝導部材を納品			ジュードにエーテル伝導部材を納品			ジュードの成長							
それでは、星見鏡の製作を続行しましょう。			それでは、星見鏡の製作を続行しましょう。			ジュードの成長							
光を集めて像を結ぶ従来の望遠鏡とは違い、星見鏡は、とらえたエーテルのゆらめきを水面に投写することで、観測を可能とするんです。			光を集めて像を結ぶ従来の望遠鏡とは違い、星見鏡は、とらえたエーテルのゆらめきを水面に投写することで、観測を可能とするんです。			ジュードの成長							
これまで製作していただいた部品を組み合わせたところ、投写に必要なエーテル伝導率が不足していることがわかりました。			これまで製作していただいた部品を組み合わせたところ、投写に必要なエーテル伝導率が不足していることがわかりました。			ジュードの成長							
そこで、今回あなたに作っていただきたいのは、「エーテル伝導部材」です！			そこで、今回あなたに作っていただきたいのは、「エーテル伝導部材」です！			ジュードの成長							
星見鏡の完成まで、あと一歩……ご協力お願いします！			星見鏡の完成まで、あと一歩……ご協力お願いします！			ジュードの成長							
エーテルのゆらめきを水面に投写するために必要な、「エーテル伝導部材」の製作をお願いします！			エーテルのゆらめきを水面に投写するために必要な、「エーテル伝導部材」の製作をお願いします！			ジュードの成長							
