選者殿のボリックは、悩んでいるようだ。			選者殿のボリックは、悩んでいるようだ。			ルルシャ教授と奇妙な遺物							
ルルシャに「黄金の動力部品」を納品した。心核の素材が届くのを待つ間、さらに腕を磨いておこう。			ルルシャに「黄金の動力部品」を納品した。心核の素材が届くのを待つ間、さらに腕を磨いておこう。			投資されるべき研究							
ルルシャに黄金の動力部品を納品			ルルシャに黄金の動力部品を納品			投資されるべき研究							
あらあら、Forenameさん！忙しいでしょうに、顔を出してくれて嬉しいわ。			あらあら、Forenameさん！忙しいでしょうに、顔を出してくれて嬉しいわ。			投資されるべき研究							
ちゃんとご飯は食べているかしら、睡眠もしっかりとるのよ？うちの学生には、不摂生が祟って倒れる子もいるから、あなたも気をつけてちょうだいねぇ。			ちゃんとご飯は食べているかしら、睡眠もしっかりとるのよ？うちの学生には、不摂生が祟って倒れる子もいるから、あなたも気をつけてちょうだいねぇ。			投資されるべき研究							
……なんて、余計なお世話だったら、ごめんなさい。お婆ちゃん、ついつい心配になっちゃって。			……なんて、余計なお世話だったら、ごめんなさい。お婆ちゃん、ついつい心配になっちゃって。			投資されるべき研究							
雑談はこのくらいで、そろそろ修復のお話をしましょうねぇ。前回、歯車を交換しただけではダメだったわけだけど、その要因を調べてみたの。			雑談はこのくらいで、そろそろ修復のお話をしましょうねぇ。前回、歯車を交換しただけではダメだったわけだけど、その要因を調べてみたの。			投資されるべき研究							
故障の原因として考えられるのは、動力源である心核と、それを支える動力部品なのだけれど……			故障の原因として考えられるのは、動力源である心核と、それを支える動力部品なのだけれど……			投資されるべき研究							
心核の素材は、俺のほうで調べておきました！でも、これがまた流通量の少ない、稀少な鉱石でして……			心核の素材は、俺のほうで調べておきました！でも、これがまた流通量の少ない、稀少な鉱石でして……			投資されるべき研究							
折悪く、手すきのグリーナーがつかまらなかったんで、港に出入りしている商人さんへお願いをして、取り寄せることにしたんですよ～。			折悪く、手すきのグリーナーがつかまらなかったんで、港に出入りしている商人さんへお願いをして、取り寄せることにしたんですよ～。			投資されるべき研究							
そういうわけでね、調達には少し時間がかかりそうだから、動力部品のほうから進めようと思っているの。			そういうわけでね、調達には少し時間がかかりそうだから、動力部品のほうから進めようと思っているの。			投資されるべき研究							
お願いしたいのは、動力源である心核を支える動力部品よ。			お願いしたいのは、動力源である心核を支える動力部品よ。			投資されるべき研究							
はぁぁ……複雑な部品ですから、正確に再現できるといいんですけど～。			はぁぁ……複雑な部品ですから、正確に再現できるといいんですけど～。			投資されるべき研究							
最近、いろいろと心配事が多いから、眠る前の「今日のひとり反省会」が長引いちゃって……。どうにか寝ようと、羊を1億頭まで数えたら朝になってましたよ。			最近、いろいろと心配事が多いから、眠る前の「今日のひとり反省会」が長引いちゃって……。どうにか寝ようと、羊を1億頭まで数えたら朝になってましたよ。			投資されるべき研究							
あらまあ！それは困ったわねぇ……。			あらまあ！それは困ったわねぇ……。			投資されるべき研究							
ボリックの安眠のためにも、今回は「黄金の動力部品」の準備をお願いできる？			ボリックの安眠のためにも、今回は「黄金の動力部品」の準備をお願いできる？			投資されるべき研究							
あの商人に頼んでよかったのか、心配で……。高値をふっかけられて、交渉が大変だったんですよ～。			あの商人に頼んでよかったのか、心配で……。高値をふっかけられて、交渉が大変だったんですよ～。			投資されるべき研究							
ボリックがゆっくり安眠できるように、今回は「黄金の動力部品」の準備をお願いね。			ボリックがゆっくり安眠できるように、今回は「黄金の動力部品」の準備をお願いね。			投資されるべき研究							
部品を作ってくれて、ありがとうねぇ。これならきっと、心核のぐらつきも改善するわ。			部品を作ってくれて、ありがとうねぇ。これならきっと、心核のぐらつきも改善するわ。			投資されるべき研究							
部品を作ってくれて、ありがとうねぇ。あなたの作る部品は高品質で、安心感があるわ。これなら、しっかりと固定することができそうよ。			部品を作ってくれて、ありがとうねぇ。あなたの作る部品は高品質で、安心感があるわ。これなら、しっかりと固定することができそうよ。			投資されるべき研究							
動力部品の交換で、内部もかなり安定したわ。心核の交換はまだだけれど、起動するか試してみましょうねぇ。			動力部品の交換で、内部もかなり安定したわ。心核の交換はまだだけれど、起動するか試してみましょうねぇ。			投資されるべき研究							
黄金のチャタ号が、以前よりも動くようになった！心核を交換すれば、うまく起動するだろうか……？			黄金のチャタ号が、以前よりも動くようになった！心核を交換すれば、うまく起動するだろうか……？			投資されるべき研究							
少しずつではあるけれど、よくなってきているのがわかるわねぇ。あとは、心核の素材が届くのを待つばかりだわ。			少しずつではあるけれど、よくなってきているのがわかるわねぇ。あとは、心核の素材が届くのを待つばかりだわ。			投資されるべき研究							
(-苛立った声-)まだ、そんなガラクタの修復なんかしているのか！！			(-苛立った声-)まだ、そんなガラクタの修復なんかしているのか！！			投資されるべき研究							
無駄な作業は、即刻中止するようにと伝えたはずだぞ！未知言語の解読という、私の素晴らしい研究にこそ、資金を集中させるべきだというのにっ……！			無駄な作業は、即刻中止するようにと伝えたはずだぞ！未知言語の解読という、私の素晴らしい研究にこそ、資金を集中させるべきだというのにっ……！			投資されるべき研究							
そこのどんくさい助手よ！君だって、現状に不安を覚えているのではないか？行く先々で、ルルシャ教授への不満を聞かされているだろうに！			そこのどんくさい助手よ！君だって、現状に不安を覚えているのではないか？行く先々で、ルルシャ教授への不満を聞かされているだろうに！			投資されるべき研究							
いや～……。ええと、それはその～……。			いや～……。ええと、それはその～……。			投資されるべき研究							
た、確かにこの遺物は玩具に見えます！けどっ……それでも、俺は教授の助手として、これを修復する意義があると信じたいんですっ……！			た、確かにこの遺物は玩具に見えます！けどっ……それでも、俺は教授の助手として、これを修復する意義があると信じたいんですっ……！			投資されるべき研究							
そこの君……あのキィ・アリアポーに見込まれたというのなら、それなりに腕は立つのだろう？			そこの君……あのキィ・アリアポーに見込まれたというのなら、それなりに腕は立つのだろう？			投資されるべき研究							
だというのに……絶望的に仕事選びができないようだ！有益な仕事を選ばねば、その技術は腐るだけだぞ！			だというのに……絶望的に仕事選びができないようだ！有益な仕事を選ばねば、その技術は腐るだけだぞ！			投資されるべき研究							
何と言う？			何と言う？			投資されるべき研究							
やりがいのある仕事だと思っている			やりがいのある仕事だと思っている			投資されるべき研究							
お給料がよかったので、つい……			お給料がよかったので、つい……			投資されるべき研究							
…………			…………			投資されるべき研究							
そろいもそろって、呆れたものだな。いつまでも、そんなことをしていられるとは思うなよ！			そろいもそろって、呆れたものだな。いつまでも、そんなことをしていられるとは思うなよ！			投資されるべき研究							
あらあら、すごい剣幕ねぇ……。			あらあら、すごい剣幕ねぇ……。			投資されるべき研究							
気分を悪くしたのなら、ごめんなさいね？それでも今は、できることを着実にやっていくしかないわ。心核を交換すれば、動いてくれるかもしれないもの。			気分を悪くしたのなら、ごめんなさいね？それでも今は、できることを着実にやっていくしかないわ。心核を交換すれば、動いてくれるかもしれないもの。			投資されるべき研究							
どうかこれに懲りずに、また力を貸してちょうだいね。			どうかこれに懲りずに、また力を貸してちょうだいね。			投資されるべき研究							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の大黒柱」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の大黒柱」と感じているようです！			投資されるべき研究							
また、「ルルシャ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「ルルシャ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			投資されるべき研究							
工匠殿のルルシャは、頼みたいことがあるようだ。			工匠殿のルルシャは、頼みたいことがあるようだ。			悩めるボリック							
仕入れ担当の商人と話す			仕入れ担当の商人と話す			悩めるボリック							
ルルシャと話す			ルルシャと話す			悩めるボリック							
製作手帳 魔法大学取引：黄金の心核を製作ルルシャに黄金の心核を納品			製作手帳 魔法大学取引：黄金の心核を製作ルルシャに黄金の心核を納品			悩めるボリック							
いらっしゃい、Forenameさん。今日も顔を見られて嬉しいわ。			いらっしゃい、Forenameさん。今日も顔を見られて嬉しいわ。			悩めるボリック							
ちょうど今しがた、心核素材の調達をお願いしていた商人さんが、港に到着したって連絡が届いてねぇ……。			ちょうど今しがた、心核素材の調達をお願いしていた商人さんが、港に到着したって連絡が届いてねぇ……。			悩めるボリック							
ボリックに受け取ってきてもらうのだけど、よかったら、同行をお願いしてもいいかしら？品質に問題ないか、職人であるあなたに確かめてほしいのよ。			ボリックに受け取ってきてもらうのだけど、よかったら、同行をお願いしてもいいかしら？品質に問題ないか、職人であるあなたに確かめてほしいのよ。			悩めるボリック							
行ってくれるのね、ありがとう。ふたりとも、お願いねぇ。			行ってくれるのね、ありがとう。ふたりとも、お願いねぇ。			悩めるボリック							
じゃあ、一緒に知神の港へ向かって、そこで「仕入れ担当の商人」を探しましょう～！			じゃあ、一緒に知神の港へ向かって、そこで「仕入れ担当の商人」を探しましょう～！			悩めるボリック							
来てもらって早々、お使いを頼んでしまって、ごめんなさいねぇ。			来てもらって早々、お使いを頼んでしまって、ごめんなさいねぇ。			悩めるボリック							
あっ、Forenameさん！この人が、素材の調達を頼んだ商人です～！			あっ、Forenameさん！この人が、素材の調達を頼んだ商人です～！			悩めるボリック							
どうもどうもー！魔法大学の方でしょうか？			どうもどうもー！魔法大学の方でしょうか？			悩めるボリック							
えーっと……ルルシャ考古学研究室の者なんですけど～。			えーっと……ルルシャ考古学研究室の者なんですけど～。			悩めるボリック							
ああ！調達のご依頼をいただいていた、鉱石の件ですね。ご注文の内容と相違ないか、ご確認ください！			ああ！調達のご依頼をいただいていた、鉱石の件ですね。ご注文の内容と相違ないか、ご確認ください！			悩めるボリック							
……たしかに、お願いしていた鉱石で間違いないみたいです。Forenameさん、どうですかね～……？			……たしかに、お願いしていた鉱石で間違いないみたいです。Forenameさん、どうですかね～……？			悩めるボリック							
品質のほうも問題なさそうですか！あぁぁ、よかった～。			品質のほうも問題なさそうですか！あぁぁ、よかった～。			悩めるボリック							
はい、お代も確かにいただきました。またのご利用、お待ちしておりますー！			はい、お代も確かにいただきました。またのご利用、お待ちしておりますー！			悩めるボリック							
魔法大学のナモノ・タヤモノだ。先日頼んでおいた学術書は、仕入れられたか？			魔法大学のナモノ・タヤモノだ。先日頼んでおいた学術書は、仕入れられたか？			悩めるボリック							
ああ、どうもナモノ教授！ばっちり仕入れてありますよ。			ああ、どうもナモノ教授！ばっちり仕入れてありますよ。			悩めるボリック							
ご希望のもので間違いないか、ご確認くださいー。			ご希望のもので間違いないか、ご確認くださいー。			悩めるボリック							
頼んでおいたものと相違ない。……中身のほうは、期待外れだったが。			頼んでおいたものと相違ない。……中身のほうは、期待外れだったが。			悩めるボリック							
おや、そうでしたかぁ。どうしましょう、返品されますかー？			おや、そうでしたかぁ。どうしましょう、返品されますかー？			悩めるボリック							
いや、いい。君の仕入れに不備はない、対価は支払おう。			いや、いい。君の仕入れに不備はない、対価は支払おう。			悩めるボリック							
はい、お支払いありがとうございます！今後ともごひいきに！			はい、お支払いありがとうございます！今後ともごひいきに！			悩めるボリック							
この本は、君にくれてやろう。内容を読めば、私が取り組んでいる研究の素晴らしさが、少しは理解できるだろうからな。			この本は、君にくれてやろう。内容を読めば、私が取り組んでいる研究の素晴らしさが、少しは理解できるだろうからな。			悩めるボリック							
もしも、興味が湧いてきたら、私の研究室にきたまえ。未知言語の解読には、膨大な量の資料整理が必要でな……。君のように根気ある人材は歓迎だ！			もしも、興味が湧いてきたら、私の研究室にきたまえ。未知言語の解読には、膨大な量の資料整理が必要でな……。君のように根気ある人材は歓迎だ！			悩めるボリック							
本の内容、ざっと読んではみましたけど……俺にはちょっと難しすぎますね～。			本の内容、ざっと読んではみましたけど……俺にはちょっと難しすぎますね～。			悩めるボリック							
俺、昔から考古学が好きだったんですけど、学生時代の成績は、下から数えたほうが早い感じで……。研究者としては二流もいいとこなんですよ～。			俺、昔から考古学が好きだったんですけど、学生時代の成績は、下から数えたほうが早い感じで……。研究者としては二流もいいとこなんですよ～。			悩めるボリック							
でも、ルルシャ教授は、不出来な俺を見捨てることなく、優しく丁寧に指導してくれた……恩人なんです。			でも、ルルシャ教授は、不出来な俺を見捨てることなく、優しく丁寧に指導してくれた……恩人なんです。			悩めるボリック							
教授のおかげで、聖コイナク財団から勧誘を受けたんですけど、師への恩返しのために、それを断ってここに残ったんです。今度は助手として、俺がルルシャ教授を支えようって……。			教授のおかげで、聖コイナク財団から勧誘を受けたんですけど、師への恩返しのために、それを断ってここに残ったんです。今度は助手として、俺がルルシャ教授を支えようって……。			悩めるボリック							
でも、今の俺はさっぱり役に立ててない。いっそのこと、ナモノ教授のところで雑用でもやった方が、考古学の発展に、多少なりとも貢献できるんでしょうかね～……。			でも、今の俺はさっぱり役に立ててない。いっそのこと、ナモノ教授のところで雑用でもやった方が、考古学の発展に、多少なりとも貢献できるんでしょうかね～……。			悩めるボリック							
何と言う？			何と言う？			悩めるボリック							
ルルシャがひとりぼっちになってしまう			ルルシャがひとりぼっちになってしまう			悩めるボリック							
自分のことは自分で決めるしかない			自分のことは自分で決めるしかない			悩めるボリック							
こき使われそうだなぁ……			こき使われそうだなぁ……			悩めるボリック							
うう……そう、ですよね。もう少し、じっくり考えてみます……。			うう……そう、ですよね。もう少し、じっくり考えてみます……。			悩めるボリック							
愚痴っぽくなっちゃって、本当にすみません～！聞いてくれて、ありがとうございます。			愚痴っぽくなっちゃって、本当にすみません～！聞いてくれて、ありがとうございます。			悩めるボリック							
「ルルシャ」教授のところに……工匠殿に戻りましょうか。			「ルルシャ」教授のところに……工匠殿に戻りましょうか。			悩めるボリック							
悩ましいことばかりで、うぅ……。俺が倒れる前に、チャタ号が動いてくれるといいんですけど～。			悩ましいことばかりで、うぅ……。俺が倒れる前に、チャタ号が動いてくれるといいんですけど～。			悩めるボリック							
ふたりとも、おかえりなさい。心核の素材に問題はなかったかしら？			ふたりとも、おかえりなさい。心核の素材に問題はなかったかしら？			悩めるボリック							
そう、品質も問題なかったのね！確認をしてくれて、助かったわ……ありがとうねぇ。			そう、品質も問題なかったのね！確認をしてくれて、助かったわ……ありがとうねぇ。			悩めるボリック							
あら、ボリック。その本はどうしたの？何か面白い文献でも見つけたのかしら。			あら、ボリック。その本はどうしたの？何か面白い文献でも見つけたのかしら。			悩めるボリック							
えっ！？あ、え～っと……その……商人のところで、ナモノ教授に会ったんですよ～。			えっ！？あ、え～っと……その……商人のところで、ナモノ教授に会ったんですよ～。			悩めるボリック							
取り寄せた本がハズレだったようで、押し付けられまして。それで、その～……興味があればうちで働かないか、と。			取り寄せた本がハズレだったようで、押し付けられまして。それで、その～……興味があればうちで働かないか、と。			悩めるボリック							
あらあら！ナモノ教授に勧誘されるなんて、あなたすごいじゃないの。			あらあら！ナモノ教授に勧誘されるなんて、あなたすごいじゃないの。			悩めるボリック							
い、いや、雑用の手数が足りないだけみたいですし～。それに、俺の頭じゃ未知言語の解読なんて無理だって、教授もわかってるでしょう……。			い、いや、雑用の手数が足りないだけみたいですし～。それに、俺の頭じゃ未知言語の解読なんて無理だって、教授もわかってるでしょう……。			悩めるボリック							
うちの助手はね、自己評価が低すぎるのが玉に瑕なの。そんな優秀な助手が調べて、手配してくれたこの素材で、「黄金の心核」の準備、お願いねぇ。			うちの助手はね、自己評価が低すぎるのが玉に瑕なの。そんな優秀な助手が調べて、手配してくれたこの素材で、「黄金の心核」の準備、お願いねぇ。			悩めるボリック							
もし素材が足りなくなったら、「ボリック」に遠慮なく言ってちょうだい。			もし素材が足りなくなったら、「ボリック」に遠慮なく言ってちょうだい。			悩めるボリック							
教授は、本当に優しい方ですよね～……あ、素材は多めに発注してあるので、足りなくなったら、遠慮せず言ってください～！			教授は、本当に優しい方ですよね～……あ、素材は多めに発注してあるので、足りなくなったら、遠慮せず言ってください～！			悩めるボリック							
おお……完成した心核、とっても綺麗ですねぇ。さっそく教授に渡してあげてください！			おお……完成した心核、とっても綺麗ですねぇ。さっそく教授に渡してあげてください！			悩めるボリック							
いよいよ修復作業も大詰めよ。「黄金の心核」の準備をお願いね。			いよいよ修復作業も大詰めよ。「黄金の心核」の準備をお願いね。			悩めるボリック							
心核の交換はかなり緊張したけれど、無事に終えられたわ。用意してもらったものが、高品質だったおかげね。あとは、動くことを祈るばかりよ……。			心核の交換はかなり緊張したけれど、無事に終えられたわ。用意してもらったものが、高品質だったおかげね。あとは、動くことを祈るばかりよ……。			悩めるボリック							
黄金のチャタ号が、一瞬だけ宙に浮かび上がった！しかし、すぐに元の位置へ落下してしまい、カタカタと物音をたてている。			黄金のチャタ号が、一瞬だけ宙に浮かび上がった！しかし、すぐに元の位置へ落下してしまい、カタカタと物音をたてている。			悩めるボリック							
あらまあ、すごいじゃない！以前にボリックが言っていたとおり、飛空艇みたいに、宙に浮くことができるんだわ……！			あらまあ、すごいじゃない！以前にボリックが言っていたとおり、飛空艇みたいに、宙に浮くことができるんだわ……！			悩めるボリック							
ま、まさか本当に、自律的に飛ぶなんて……！アラグ文明の遺産ならまだしも、異なる時代の遺物なのに！やっぱり、教授の勘に間違いは……			ま、まさか本当に、自律的に飛ぶなんて……！アラグ文明の遺産ならまだしも、異なる時代の遺物なのに！やっぱり、教授の勘に間違いは……			悩めるボリック							
い、いや、でもですよ？動力部品と心核の交換を終えた今、これ以上、いったいどこを直そうっていうんですか……！？			い、いや、でもですよ？動力部品と心核の交換を終えた今、これ以上、いったいどこを直そうっていうんですか……！？			悩めるボリック							
これじゃあ……このままじゃあ、ガラクタも同然ですよ～……！			これじゃあ……このままじゃあ、ガラクタも同然ですよ～……！			悩めるボリック							
ふふ、そう慌てなくて大丈夫よ。ボリックは、ちゃんと現状をしっかり理解できているわ。			ふふ、そう慌てなくて大丈夫よ。ボリックは、ちゃんと現状をしっかり理解できているわ。			悩めるボリック							
でもね、考古学研究というものは、行き詰まったように思えるときが本当におもしろいものよ。			でもね、考古学研究というものは、行き詰まったように思えるときが本当におもしろいものよ。			悩めるボリック							
だって、そこに解くべき謎があるということですもの。			だって、そこに解くべき謎があるということですもの。			悩めるボリック							
で、でも…………			で、でも…………			悩めるボリック							
チャタ号が役立つ魔法人形か、それとも玩具に過ぎないのか……いずれにせよ、その答え合わせはしたいと思っているの。私は研究者だもの、好奇心は抑えられないわ。			チャタ号が役立つ魔法人形か、それとも玩具に過ぎないのか……いずれにせよ、その答え合わせはしたいと思っているの。私は研究者だもの、好奇心は抑えられないわ。			悩めるボリック							
まったく動くことのなかったこの子が、一瞬でも浮かび上がったのは、大きな前進よ。			まったく動くことのなかったこの子が、一瞬でも浮かび上がったのは、大きな前進よ。			悩めるボリック							
ただ、さっき聞こえた音が気がかりねぇ……。私の組み立て方が悪かったのかもしれないから、一度ばらしてみて、改めて原因を探るしかなさそう。			ただ、さっき聞こえた音が気がかりねぇ……。私の組み立て方が悪かったのかもしれないから、一度ばらしてみて、改めて原因を探るしかなさそう。			悩めるボリック							
少しだけ、時間をちょうだい。私のほうでできることがないかも、調べておくわ。			少しだけ、時間をちょうだい。私のほうでできることがないかも、調べておくわ。			悩めるボリック							
次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル88以上になると、工匠殿の「ルルシャ」から受注可能です。			次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル88以上になると、工匠殿の「ルルシャ」から受注可能です。			悩めるボリック							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			悩めるボリック							
工匠殿のルルシャは、頭を悩ませているようだ。			工匠殿のルルシャは、頭を悩ませているようだ。			窮地のルルシャ							
ルルシャから部品の製作を依頼された。「黄金の発声部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の発声部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「160」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			窮地のルルシャ							
ルルシャに「黄金の発声部品」を納品した。黄金のチャタ号が発した音について、ルルシャの調査が終わるのを待とう。			ルルシャに「黄金の発声部品」を納品した。黄金のチャタ号が発した音について、ルルシャの調査が終わるのを待とう。			窮地のルルシャ							
ルルシャに黄金の発声部品を納品			ルルシャに黄金の発声部品を納品			窮地のルルシャ							
あら、Forenameさん。今回も来てくれて、本当にありがとうねぇ。			あら、Forenameさん。今回も来てくれて、本当にありがとうねぇ。			窮地のルルシャ							
あの後、チャタ号をまるっと分解してみたの。錬金学部が開発した良質の潤滑油を試しつつ、組み立てなおしたところなのだけど……状況は変わらなくて。			あの後、チャタ号をまるっと分解してみたの。錬金学部が開発した良質の潤滑油を試しつつ、組み立てなおしたところなのだけど……状況は変わらなくて。			窮地のルルシャ							
ただ、分解したときにね、この子の口の中から、小さな部品を見つけたのよ。どうやら音を出す……一種の発声部品みたいね。			ただ、分解したときにね、この子の口の中から、小さな部品を見つけたのよ。どうやら音を出す……一種の発声部品みたいね。			窮地のルルシャ							
これが動作不良の原因とは考えにくいけれど、小さなキズが見られたから、交換すべきかとも思ってねぇ。あなたの見解を聞いてもいいかしら？			これが動作不良の原因とは考えにくいけれど、小さなキズが見られたから、交換すべきかとも思ってねぇ。あなたの見解を聞いてもいいかしら？			窮地のルルシャ							
何と言う？			何と言う？			窮地のルルシャ							
意思疎通ができるようになるかも			意思疎通ができるようになるかも			窮地のルルシャ							
何か喋ってくれるといいんだけど……			何か喋ってくれるといいんだけど……			窮地のルルシャ							
……え？　チャタ号と話をするってことですか？			……え？　チャタ号と話をするってことですか？			窮地のルルシャ							
ふふふ、さすがはForenameさん！遺物と言葉を交わすだなんて、とても自由な発想だわ。			ふふふ、さすがはForenameさん！遺物と言葉を交わすだなんて、とても自由な発想だわ。			窮地のルルシャ							
チャタ号は、自律的に飛ぶことができる子よ。会話ができたとしても、不思議ではないものね。それに、喋ってくれたら、不調の原因を聞き出せるかも……。			チャタ号は、自律的に飛ぶことができる子よ。会話ができたとしても、不思議ではないものね。それに、喋ってくれたら、不調の原因を聞き出せるかも……。			窮地のルルシャ							
なら、今回は「黄金の発声部品」をお願いできるかしら。この子と、お喋りできるようになるといいわねぇ。			なら、今回は「黄金の発声部品」をお願いできるかしら。この子と、お喋りできるようになるといいわねぇ。			窮地のルルシャ							
おふたりの、柔軟な発想には驚きましたよ。チャタ号と話すのが楽しみで、少し元気も出てきました。……まあ、予算の心配はなくならないんですけどね～。			おふたりの、柔軟な発想には驚きましたよ。チャタ号と話すのが楽しみで、少し元気も出てきました。……まあ、予算の心配はなくならないんですけどね～。			窮地のルルシャ							
今回は「黄金の発声部品」をお願いできるかしら。この子と、お喋りできるようになるといいわねぇ。			今回は「黄金の発声部品」をお願いできるかしら。この子と、お喋りできるようになるといいわねぇ。			窮地のルルシャ							
お手伝いしてくれて、嬉しいわぁ。この子と言葉を交わすのが、楽しみねぇ。			お手伝いしてくれて、嬉しいわぁ。この子と言葉を交わすのが、楽しみねぇ。			窮地のルルシャ							
お手伝いしてくれて、嬉しいわぁ。いつもながら、素晴らしい仕事ぶりねぇ。この部品と交換すれば、声を聞くことができそうだわ。			お手伝いしてくれて、嬉しいわぁ。いつもながら、素晴らしい仕事ぶりねぇ。この部品と交換すれば、声を聞くことができそうだわ。			窮地のルルシャ							
部品の組み込みは、無事に終わったわ。あとはこの子が、私たちとお喋りしてくれるといいのだけど。			部品の組み込みは、無事に終わったわ。あとはこの子が、私たちとお喋りしてくれるといいのだけど。			窮地のルルシャ							
(-黄金のチャタ号-)『☆＆▼△　＄※◇　◎％××……』			(-黄金のチャタ号-)『☆＆▼△　＄※◇　◎％××……』			窮地のルルシャ							
黄金のチャタ号が、聞いたことのない音を発した！しかし、何と言っているのか、まるでわからない。			黄金のチャタ号が、聞いたことのない音を発した！しかし、何と言っているのか、まるでわからない。			窮地のルルシャ							
やっぱりチャタ号は、しゃべることができたのね……！			やっぱりチャタ号は、しゃべることができたのね……！			窮地のルルシャ							
えっ？　ええっ？ま、まさか本当に、チャタ号が言葉を？だとしたら、とんでもない発見に繋がるかも……			えっ？　ええっ？ま、まさか本当に、チャタ号が言葉を？だとしたら、とんでもない発見に繋がるかも……			窮地のルルシャ							
で、でも、あれは意味のある言葉ですかね……？独特のリズムがあったようには聞こえましたが、本当に喋ったのか、音楽を鳴らすだけのものなのか……。			で、でも、あれは意味のある言葉ですかね……？独特のリズムがあったようには聞こえましたが、本当に喋ったのか、音楽を鳴らすだけのものなのか……。			窮地のルルシャ							
今日も今日とて、ガラクタの修復とは恐れ入るな！まだそんな無駄なことをやっているのか？			今日も今日とて、ガラクタの修復とは恐れ入るな！まだそんな無駄なことをやっているのか？			窮地のルルシャ							
まあ、ちょうどいいところに来てくれたわ。この子について、新たに判明したことがあってねぇ、あなたの知恵を少しお借りしたいのよ。			まあ、ちょうどいいところに来てくれたわ。この子について、新たに判明したことがあってねぇ、あなたの知恵を少しお借りしたいのよ。			窮地のルルシャ							
……なんだって？まさかとは思うが、そのガラクタの研究が、多少なりとも進展を見せ始めたということか……？			……なんだって？まさかとは思うが、そのガラクタの研究が、多少なりとも進展を見せ始めたということか……？			窮地のルルシャ							
Forenameさんのおかげでね、素敵な発見に繋がりそうな糸口を見つけることができたのよ。ただ、今回の発見は、あなたが専門とする分野みたいなの。			Forenameさんのおかげでね、素敵な発見に繋がりそうな糸口を見つけることができたのよ。ただ、今回の発見は、あなたが専門とする分野みたいなの。			窮地のルルシャ							
やれやれ、糸口ときたか。どれだけ研究が進んだかと思えば、どんな発見に至りそうなのか、予測すらついていないらしいな……。			やれやれ、糸口ときたか。どれだけ研究が進んだかと思えば、どんな発見に至りそうなのか、予測すらついていないらしいな……。			窮地のルルシャ							
残念だが、そんな調子では話を聞くきにもなれない。私がここへ足を運んだのは、あなたに通告するためだ。			残念だが、そんな調子では話を聞くきにもなれない。私がここへ足を運んだのは、あなたに通告するためだ。			窮地のルルシャ							
私は、研究資金の浪費と教授職の進退を問うべく、査問会の開催を申請した！			私は、研究資金の浪費と教授職の進退を問うべく、査問会の開催を申請した！			窮地のルルシャ							
それに、そこの助手を見たまえ。かわいそうに、こんなにも悩んでいるじゃないか！			それに、そこの助手を見たまえ。かわいそうに、こんなにも悩んでいるじゃないか！			窮地のルルシャ							
…………。			…………。			窮地のルルシャ							
心配しなくていいぞ、君は勤勉な助手のようだ。この研究室がつぶれたあとは、私が面倒を見てやろう。ただし、この研究室廃止の署名にサインすることが条件だがな。			心配しなくていいぞ、君は勤勉な助手のようだ。この研究室がつぶれたあとは、私が面倒を見てやろう。ただし、この研究室廃止の署名にサインすることが条件だがな。			窮地のルルシャ							
あらあら……。言語にかかわる問題なら、ナモノ教授に聞くのがはやいと思ったのだけどねぇ。			あらあら……。言語にかかわる問題なら、ナモノ教授に聞くのがはやいと思ったのだけどねぇ。			窮地のルルシャ							
俺、教授がこんな状況にまで追いつめられる前に、どうにかしないとって思っていたのに……すみません。俺にできることは何か、ひとりで考えさせてください……。			俺、教授がこんな状況にまで追いつめられる前に、どうにかしないとって思っていたのに……すみません。俺にできることは何か、ひとりで考えさせてください……。			窮地のルルシャ							
ボリック……あんなにも思いつめていたのね。			ボリック……あんなにも思いつめていたのね。			窮地のルルシャ							
何と言う？			何と言う？			窮地のルルシャ							
ボリックを追いかけなくてもいいの？			ボリックを追いかけなくてもいいの？			窮地のルルシャ							
ボリックは、そっとしておくべきだろう			ボリックは、そっとしておくべきだろう			窮地のルルシャ							
冷たいようだけれど、研究者というのは孤独なものよ。目の前にある謎に、どう向き合っていくのかは、いつか必ず、自分自身で見いださなければならないわ。			冷たいようだけれど、研究者というのは孤独なものよ。目の前にある謎に、どう向き合っていくのかは、いつか必ず、自分自身で見いださなければならないわ。			窮地のルルシャ							
