槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			勇気の証明							
槍術士ギルドの存続を懸け、茨の森のヌシに勇気を示さなければならない。東部森林の「茨の森」に向かい、「ワイルドボア」から「血塗れたボアの牙」を10本入手しよう。			槍術士ギルドの存続を懸け、茨の森のヌシに勇気を示さなければならない。東部森林の「茨の森」に向かい、「ワイルドボア」から「血塗れたボアの牙」を10本入手しよう。			命運分かつ槍							
入手した「血塗れたボアの牙」を「踏み荒らされた露地」に捧げよう。			入手した「血塗れたボアの牙」を「踏み荒らされた露地」に捧げよう。			命運分かつ槍							
血塗れたボアの牙を捧げた。「血塗れたボアの牙」の側で、ヌシが姿を現すのを待とう。			血塗れたボアの牙を捧げた。「血塗れたボアの牙」の側で、ヌシが姿を現すのを待とう。			命運分かつ槍							
茨の森の試練を越えることができたようだ。槍術士ギルドに戻り、イウェインに声をかけよう。			茨の森の試練を越えることができたようだ。槍術士ギルドに戻り、イウェインに声をかけよう。			命運分かつ槍							
イウェインの気迫に押され、フールクは森の奥へと姿を消した。あれだけの痛い目に遭えば、考えを改めるだろうと、イウェインは言う。イウェインは、茨の森の試練を乗り越えた冒険者の、更なる成長を期待しているようだ。気を引き締め、槍術の腕を磨いてこよう。※槍術士のレベルが25以上になると、イウェインから次の槍術士クエストを受注することができます。			イウェインの気迫に押され、フールクは森の奥へと姿を消した。あれだけの痛い目に遭えば、考えを改めるだろうと、イウェインは言う。イウェインは、茨の森の試練を乗り越えた冒険者の、更なる成長を期待しているようだ。気を引き締め、槍術の腕を磨いてこよう。※槍術士のレベルが25以上になると、イウェインから次の槍術士クエストを受注することができます。			命運分かつ槍							
槍術士ギルドの指定地点で待つ			槍術士ギルドの指定地点で待つ			命運分かつ槍							
イウェインと話す			イウェインと話す			命運分かつ槍							
ワイルドボアから血塗れたボアの牙を入手			ワイルドボアから血塗れたボアの牙を入手			命運分かつ槍							
血塗れたボアの牙を踏み荒らされた露地に捧げる			血塗れたボアの牙を踏み荒らされた露地に捧げる			命運分かつ槍							
血塗れたボアの牙の近くで待つ			血塗れたボアの牙の近くで待つ			命運分かつ槍							
槍術士ギルドのイウェインに報告			槍術士ギルドのイウェインに報告			命運分かつ槍							
槍術士に連続で勝利しろ！			槍術士に連続で勝利しろ！			命運分かつ槍							
「ヌシ」カマプアアを倒せ！			「ヌシ」カマプアアを倒せ！			命運分かつ槍							
よし、次！			よし、次！			命運分かつ槍							
そこまでっ！			そこまでっ！			命運分かつ槍							
手加減は無用だっ！			手加減は無用だっ！			命運分かつ槍							
次ッ！　手を緩めるなッ！			次ッ！　手を緩めるなッ！			命運分かつ槍							
次ッ！　行けッ！			次ッ！　行けッ！			命運分かつ槍							
そこまでっ！			そこまでっ！			命運分かつ槍							
よお、来たな。鍛錬の調子はどうだ？			よお、来たな。鍛錬の調子はどうだ？			命運分かつ槍							
今回は、お前の「勇気」をさらに磨くために、ある試練を受けてもらうつもりだが……			今回は、お前の「勇気」をさらに磨くために、ある試練を受けてもらうつもりだが……			命運分かつ槍							
待ち受けているのは、今まで以上に危険な戦いだ。挑む前に、まずは十分な力があるか確かめさせてもらう。			待ち受けているのは、今まで以上に危険な戦いだ。挑む前に、まずは十分な力があるか確かめさせてもらう。			命運分かつ槍							
この道場で試合をする。3人の腕利きの槍術士と戦い、勝ち抜いてみせろ。交代の指示は俺が出すから、手加減は不要だ。			この道場で試合をする。3人の腕利きの槍術士と戦い、勝ち抜いてみせろ。交代の指示は俺が出すから、手加減は不要だ。			命運分かつ槍							
準備ができたなら、指定された場所に立て。支度が整い次第、試合を始めるぞ。			準備ができたなら、指定された場所に立て。支度が整い次第、試合を始めるぞ。			命運分かつ槍							
そこまで！見事だ、Forename。			そこまで！見事だ、Forename。			命運分かつ槍							
よし、槍術の腕は申し分ないだろう。それじゃ、いよいよ本題だ。			よし、槍術の腕は申し分ないだろう。それじゃ、いよいよ本題だ。			命運分かつ槍							
「勇気」を鍛え上げるために、槍術士が通過しなければいけない試練は多数ある。だが、今回は生半可な決意で挑ませるわけにはいかない。			「勇気」を鍛え上げるために、槍術士が通過しなければいけない試練は多数ある。だが、今回は生半可な決意で挑ませるわけにはいかない。			命運分かつ槍							
その過酷さゆえ、命を落としかねないからだ。それでも挑むというのなら……腹を決めろ。本当に、試練に挑むか？			その過酷さゆえ、命を落としかねないからだ。それでも挑むというのなら……腹を決めろ。本当に、試練に挑むか？			命運分かつ槍							
試練に挑む？			試練に挑む？			命運分かつ槍							
はい			はい			命運分かつ槍							
いいえ			いいえ			命運分かつ槍							
そうか……。それもまた、ひとつの選択だ。己の心と向き合うことを恥じる必要はない。			そうか……。それもまた、ひとつの選択だ。己の心と向き合うことを恥じる必要はない。			命運分かつ槍							
もしも試練を受ける決意が固まったときには、いつでも声をかけてくれ。			もしも試練を受ける決意が固まったときには、いつでも声をかけてくれ。			命運分かつ槍							
……やれやれ、残念です。			……やれやれ、残念です。			命運分かつ槍							
お前は……！			お前は……！			命運分かつ槍							
お久しぶりですね。「彼女彼」の成長ぶりを見に来ました。彼女彼は唯一、「勇気」を掴める可能性を持つ者でしたから。			お久しぶりですね。「彼女彼」の成長ぶりを見に来ました。彼女彼は唯一、「勇気」を掴める可能性を持つ者でしたから。			命運分かつ槍							
ですが……こうして臆病者のギルドに留まり続ける様子を見ると、残念ながら、私の言葉は届かなかったようですね。			ですが……こうして臆病者のギルドに留まり続ける様子を見ると、残念ながら、私の言葉は届かなかったようですね。			命運分かつ槍							
もう、このギルドに用はありません。決着をつけさせてもらいます。			もう、このギルドに用はありません。決着をつけさせてもらいます。			命運分かつ槍							
……フールクと言ったか。槍術士にしちゃ、礼儀も知らねぇ野郎だな。槍術士ギルドに恨みでもあるのか？			……フールクと言ったか。槍術士にしちゃ、礼儀も知らねぇ野郎だな。槍術士ギルドに恨みでもあるのか？			命運分かつ槍							
……私は「臆病者」が嫌いなんです。気に食わぬ者は、潰したいと思うのが当然でしょう。			……私は「臆病者」が嫌いなんです。気に食わぬ者は、潰したいと思うのが当然でしょう。			命運分かつ槍							
フン。話すつもりはねえ、か。まあいい、望み通り決着をつけてやろう。			フン。話すつもりはねえ、か。まあいい、望み通り決着をつけてやろう。			命運分かつ槍							
ただし、お前と勝負をするのは俺じゃない。この、Forename Surnameだ。ギルドマスターとして、ギルドの命運を弟子に懸ける。			ただし、お前と勝負をするのは俺じゃない。この、Forename Surnameだ。ギルドマスターとして、ギルドの命運を弟子に懸ける。			命運分かつ槍							
どうぞ、お好きなように。何なら、勝負の方法も決めていただいて構いませんよ。			どうぞ、お好きなように。何なら、勝負の方法も決めていただいて構いませんよ。			命運分かつ槍							
ならば、こいつに与える予定だった「茨の森の試練」でケリを着けよう。お前とこいつで同じ試練に挑み、先に突破したものが勝者だ。			ならば、こいつに与える予定だった「茨の森の試練」でケリを着けよう。お前とこいつで同じ試練に挑み、先に突破したものが勝者だ。			命運分かつ槍							
試練の内容は、東部森林の「茨の森」に行き、森の奥に潜む「森のヌシ」に「勇気」を示すこと。			試練の内容は、東部森林の「茨の森」に行き、森の奥に潜む「森のヌシ」に「勇気」を示すこと。			命運分かつ槍							
「ヌシ」とは、茨の森を根城とする獰猛な老ホッグだ。奴を前にして、動じたり、乱されることなく「勇気」を保てるか……それを試させてもらう。			「ヌシ」とは、茨の森を根城とする獰猛な老ホッグだ。奴を前にして、動じたり、乱されることなく「勇気」を保てるか……それを試させてもらう。			命運分かつ槍							
「ヌシ」を呼び出すために、まずは茨の森の「ワイルドボア」を狩り、10本の「血塗れたボアの牙」を集めろ。			「ヌシ」を呼び出すために、まずは茨の森の「ワイルドボア」を狩り、10本の「血塗れたボアの牙」を集めろ。			命運分かつ槍							
そいつを森の奥の「踏み荒らされた露地」に捧げろ。側で待てば、やがて、血の臭いにひかれた「ヌシ」が姿を現す。			そいつを森の奥の「踏み荒らされた露地」に捧げろ。側で待てば、やがて、血の臭いにひかれた「ヌシ」が姿を現す。			命運分かつ槍							
……前口上は終いだ。すべきことを理解したか？　質問はねえな？			……前口上は終いだ。すべきことを理解したか？　質問はねえな？			命運分かつ槍							
それじゃ…………			それじゃ…………			命運分かつ槍							
今この瞬間をもって、試練を開始する。さあ、行け！			今この瞬間をもって、試練を開始する。さあ、行け！			命運分かつ槍							
(仮)NCut開始、完了			(仮)NCut開始、完了			命運分かつ槍							
……待ちな。こいつらじゃ、お前の牙は満たされんだろう。			……待ちな。こいつらじゃ、お前の牙は満たされんだろう。			命運分かつ槍							
お前の相手は、俺がしてやる。……今は、退きな。			お前の相手は、俺がしてやる。……今は、退きな。			命運分かつ槍							
試練を突破したようだな、Forename。			試練を突破したようだな、Forename。			命運分かつ槍							
……わかったか？「勇気」の意味が。危険に身を晒すことの愚かさが。			……わかったか？「勇気」の意味が。危険に身を晒すことの愚かさが。			命運分かつ槍							
ふん……詭弁を……			ふん……詭弁を……			命運分かつ槍							
……！			……！			命運分かつ槍							
揺れる「心」から目をそらすか。			揺れる「心」から目をそらすか。			命運分かつ槍							
……放っておけ。			……放っておけ。			命運分かつ槍							
試練は終わりだ。さあ、ギルドに戻るぞ。			試練は終わりだ。さあ、ギルドに戻るぞ。			命運分かつ槍							
「ヌシ」を前に、よくもちこたえた。もしも心の乱れや動転を見せたら、たちまちその牙の餌食となっていただろう。			「ヌシ」を前に、よくもちこたえた。もしも心の乱れや動転を見せたら、たちまちその牙の餌食となっていただろう。			命運分かつ槍							
だが、お前は「ヌシ」を前にして、動じることも、乱されることもなかった。			だが、お前は「ヌシ」を前にして、動じることも、乱されることもなかった。			命運分かつ槍							
ヌシとの邂逅を果たし、お前の勇気はさらに磨かれた。強敵の前でも怖じることなく、槍術の力を存分に発揮できるまでにな。			ヌシとの邂逅を果たし、お前の勇気はさらに磨かれた。強敵の前でも怖じることなく、槍術の力を存分に発揮できるまでにな。			命運分かつ槍							
よくやったぞ、Forename。お前は、勇気によって槍術士が乗り越えるべき最大の壁……恐怖を制したのだ。			よくやったぞ、Forename。お前は、勇気によって槍術士が乗り越えるべき最大の壁……恐怖を制したのだ。			命運分かつ槍							
フールクも、「勇気」の意味を思い知ったはずだ。危険に飛び込むことではない、ほかならぬ「ふたつの心」だということをな。			フールクも、「勇気」の意味を思い知ったはずだ。危険に飛び込むことではない、ほかならぬ「ふたつの心」だということをな。			命運分かつ槍							
さあ、次なる試練に向け、さらに腕を磨いてこい。果たしてどこまで強くなってくるか……楽しみにしているぜ。			さあ、次なる試練に向け、さらに腕を磨いてこい。果たしてどこまで強くなってくるか……楽しみにしているぜ。			命運分かつ槍							
クエスト「命運分かつ槍」のバトルを開始しますか？			クエスト「命運分かつ槍」のバトルを開始しますか？			命運分かつ槍							
はい			はい			命運分かつ槍							
いいえ			いいえ			命運分かつ槍							
ヌシを倒し、勝負に勝つのは私です。我が勇気を、その目に焼き付けるがいい！			ヌシを倒し、勝負に勝つのは私です。我が勇気を、その目に焼き付けるがいい！			命運分かつ槍							
ああ……なんて強烈な攻撃……体から力が抜けていきます……			ああ……なんて強烈な攻撃……体から力が抜けていきます……			命運分かつ槍							
それを埋めるように、私の内に勇気が湧き上がる……！			それを埋めるように、私の内に勇気が湧き上がる……！			命運分かつ槍							
死が近づくほどに、わが勇気が奮い立つ……！			死が近づくほどに、わが勇気が奮い立つ……！			命運分かつ槍							
私の勇気にかけて、必ずやヌシを倒す！			私の勇気にかけて、必ずやヌシを倒す！			命運分かつ槍							
槍術士ギルドマスター、イウェインは、冒険者に急ぎの依頼があるようだが……？			槍術士ギルドマスター、イウェインは、冒険者に急ぎの依頼があるようだが……？			蛮勇の槍術士							
イウェインから、東部森林に行った槍術士とフールクの様子を見てきてほしいと頼まれた。東部森林に向かい、「フールク」の様子を窺おう。			イウェインから、東部森林に行った槍術士とフールクの様子を見てきてほしいと頼まれた。東部森林に向かい、「フールク」の様子を窺おう。			蛮勇の槍術士							
槍術士を助けるためには、フールクの言いなりになるしかなさそうだ……。渡された「鈍色の錬金薬」を「大樹の根元」に撒き、現れた魔物を討伐しよう。			槍術士を助けるためには、フールクの言いなりになるしかなさそうだ……。渡された「鈍色の錬金薬」を「大樹の根元」に撒き、現れた魔物を討伐しよう。			蛮勇の槍術士							
アンガード・トレントの討伐を終えた。「東部森林」の「フールク」に報告をしよう。			アンガード・トレントの討伐を終えた。「東部森林」の「フールク」に報告をしよう。			蛮勇の槍術士							
次は、中央森林の「再生の根株」付近に現れる「アルファウルフ」を待ち伏せし、仕留めてみせろと言う。指定された場所に向かい、魔物の群れが現れるのを待とう。			次は、中央森林の「再生の根株」付近に現れる「アルファウルフ」を待ち伏せし、仕留めてみせろと言う。指定された場所に向かい、魔物の群れが現れるのを待とう。			蛮勇の槍術士							
フールクは、自分の与えた試練こそが真の勇気を鍛えるものだと言う。再度、冒険者に槍術士ギルドを辞めるよう告げて、去っていった。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			フールクは、自分の与えた試練こそが真の勇気を鍛えるものだと言う。再度、冒険者に槍術士ギルドを辞めるよう告げて、去っていった。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			蛮勇の槍術士							
冒険者がフールクの試練を乗り越えられたのは、正しき勇気によるものだと説くイウェイン。危険こそが勇気を磨くと主張するフールクを放っておけないと言う。仲間を助け、勇気を証明した冒険者は、ギルドマスターから「ピアシングタロン」を授かった。この技を使いこなせるよう、さらに槍術の鍛錬に励み、再びギルドを訪れよう。※槍術士のレベルが20以上になると、イウェインから次の槍術士クエストを受注することができます。			冒険者がフールクの試練を乗り越えられたのは、正しき勇気によるものだと説くイウェイン。危険こそが勇気を磨くと主張するフールクを放っておけないと言う。仲間を助け、勇気を証明した冒険者は、ギルドマスターから「ピアシングタロン」を授かった。この技を使いこなせるよう、さらに槍術の鍛錬に励み、再びギルドを訪れよう。※槍術士のレベルが20以上になると、イウェインから次の槍術士クエストを受注することができます。			蛮勇の槍術士							
東部森林のフールクと話す			東部森林のフールクと話す			蛮勇の槍術士							
鈍色の錬金薬を大樹の根元に撒く			鈍色の錬金薬を大樹の根元に撒く			蛮勇の槍術士							
フールクに報告			フールクに報告			蛮勇の槍術士							
再生の根株の指定地点で待つ			再生の根株の指定地点で待つ			蛮勇の槍術士							
槍術士ギルドのイウェインに報告			槍術士ギルドのイウェインに報告			蛮勇の槍術士							
アルファウルフの群れを倒せ！			アルファウルフの群れを倒せ！			蛮勇の槍術士							
いいところに来た！Forename、手を貸してくれ。			いいところに来た！Forename、手を貸してくれ。			蛮勇の槍術士							
以前、お前の試練に横槍を入れた「フールク」という槍術士を覚えているか？あの、道場破りの男だ。			以前、お前の試練に横槍を入れた「フールク」という槍術士を覚えているか？あの、道場破りの男だ。			蛮勇の槍術士							
そいつが、ウチのギルドの槍術士を挑発したらしくてな。まんまと乗せられた槍術士とともに、東部森林へ向かったらしい。			そいつが、ウチのギルドの槍術士を挑発したらしくてな。まんまと乗せられた槍術士とともに、東部森林へ向かったらしい。			蛮勇の槍術士							
ただの喧嘩なら放っておくところだが……あのフールクという野郎は、何をしでかすかわからん。			ただの喧嘩なら放っておくところだが……あのフールクという野郎は、何をしでかすかわからん。			蛮勇の槍術士							
万一を考えると、俺がギルドを離れるのは得策じゃない。すまないが、俺の代わりに東部森林へ様子を見にいってくれないか？			万一を考えると、俺がギルドを離れるのは得策じゃない。すまないが、俺の代わりに東部森林へ様子を見にいってくれないか？			蛮勇の槍術士							
あなたは、いつぞやの……また、お会いしましたね。私のことを覚えておいでですか？			あなたは、いつぞやの……また、お会いしましたね。私のことを覚えておいでですか？			蛮勇の槍術士							
覚えてる？			覚えてる？			蛮勇の槍術士							
覚えてる			覚えてる			蛮勇の槍術士							
忘れた			忘れた			蛮勇の槍術士							
そう言っていただけて、光栄です。真の勇気を示す試練をこなし、「勇気の丸石」を手に入れたこと……忘れるはずがありませんよね。			そう言っていただけて、光栄です。真の勇気を示す試練をこなし、「勇気の丸石」を手に入れたこと……忘れるはずがありませんよね。			蛮勇の槍術士							
やれやれ……薄情な方ですね。真の勇気を教えるため、わざわざ「勇気の丸石」をウォーレン牢獄へ移してさしあげたというのに。			やれやれ……薄情な方ですね。真の勇気を教えるため、わざわざ「勇気の丸石」をウォーレン牢獄へ移してさしあげたというのに。			蛮勇の槍術士							
見事、牢獄から石を持ち帰ったそうですね。素晴らしい……やはり、私の目は正しかったようです。			見事、牢獄から石を持ち帰ったそうですね。素晴らしい……やはり、私の目は正しかったようです。			蛮勇の槍術士							
あなたには「真の勇気」を学ぶ素質がある。そこの腰抜けのようになりたくなければ、槍術士ギルドなど見放して、正しく勇気を磨くべきです。			あなたには「真の勇気」を学ぶ素質がある。そこの腰抜けのようになりたくなければ、槍術士ギルドなど見放して、正しく勇気を磨くべきです。			蛮勇の槍術士							
この私が、あなたの勇気を磨くに相応しい試練をお与えしましょう。もちろん、あなたに断る権利はありません。			この私が、あなたの勇気を磨くに相応しい試練をお与えしましょう。もちろん、あなたに断る権利はありません。			蛮勇の槍術士							
あなたには正しい勇気を知っていただかなければならない。断れば、この槍術士がどうなるか……フフ。			あなたには正しい勇気を知っていただかなければならない。断れば、この槍術士がどうなるか……フフ。			蛮勇の槍術士							
以前、「勇気」は「危険」に身を晒してこそ磨かれるとお教えしましたね。つまり、普通の魔物と戦う程度では、勇気は磨かれない。			以前、「勇気」は「危険」に身を晒してこそ磨かれるとお教えしましたね。つまり、普通の魔物と戦う程度では、勇気は磨かれない。			蛮勇の槍術士							
ならば、怒り狂わせ、牙を剥かせればいいんです。			ならば、怒り狂わせ、牙を剥かせればいいんです。			蛮勇の槍術士							
この「鈍色の錬金薬」を「大樹の根元」に撒きなさい。怒り狂った魔物が、あなたに襲い掛かってくるでしょう。それを、捻り潰してごらんなさい。			この「鈍色の錬金薬」を「大樹の根元」に撒きなさい。怒り狂った魔物が、あなたに襲い掛かってくるでしょう。それを、捻り潰してごらんなさい。			蛮勇の槍術士							
うう……			うう……			蛮勇の槍術士							
さあ、「鈍色の錬金薬」を「大樹の根元」に撒くのです。逆らえば、この槍術士がどうなっても知りませんよ？			さあ、「鈍色の錬金薬」を「大樹の根元」に撒くのです。逆らえば、この槍術士がどうなっても知りませんよ？			蛮勇の槍術士							
す、すまない……			す、すまない……			蛮勇の槍術士							
怒り狂った魔物アンガード・トレントを倒せたようですね。凶暴化した魔物を刺し貫くことで、あなたの勇気が磨かれたことでしょう。			怒り狂った魔物アンガード・トレントを倒せたようですね。凶暴化した魔物を刺し貫くことで、あなたの勇気が磨かれたことでしょう。			蛮勇の槍術士							
では次は、自らを窮地に追い込む試練を与えましょう。できるだけ多くの敵に囲まれることで、勇気を磨くのです。			では次は、自らを窮地に追い込む試練を与えましょう。できるだけ多くの敵に囲まれることで、勇気を磨くのです。			蛮勇の槍術士							
中央森林の「再生の根株」に向かいなさい。あの場所には、この時期にだけ、血に飢えたウルフの群れが現れる。			中央森林の「再生の根株」に向かいなさい。あの場所には、この時期にだけ、血に飢えたウルフの群れが現れる。			蛮勇の槍術士							
その群れに突っ込み、奴らを率いる「アルファウルフ」を討ちとってください。私は、特等席でその様子を見せてもらうとしましょう。			その群れに突っ込み、奴らを率いる「アルファウルフ」を討ちとってください。私は、特等席でその様子を見せてもらうとしましょう。			蛮勇の槍術士							
す、すまない……			す、すまない……			蛮勇の槍術士							
中央森林の「再生の根株」にて、ウルフの群れを待ち、奴らを率いるボス、「アルファウルフ」を討ちとってみせなさい。			中央森林の「再生の根株」にて、ウルフの群れを待ち、奴らを率いるボス、「アルファウルフ」を討ちとってみせなさい。			蛮勇の槍術士							
見事です、Forename。危険の中に飛び込むことで、勇気が磨かれたでしょう？			見事です、Forename。危険の中に飛び込むことで、勇気が磨かれたでしょう？			蛮勇の槍術士							
その結果として、グリダニアの者どもが重んじる「再生の根株」の治安を守ることもできましたしね。			その結果として、グリダニアの者どもが重んじる「再生の根株」の治安を守ることもできましたしね。			蛮勇の槍術士							
今までの槍術士ギルドの試練など、形だけのお遊びだったと、よくわかったでしょう。			今までの槍術士ギルドの試練など、形だけのお遊びだったと、よくわかったでしょう。			蛮勇の槍術士							
本当に槍術を極めたいなら、あの臆病者のギルドをさっさと見捨て私と一緒に真の槍術を探究しませんか？			本当に槍術を極めたいなら、あの臆病者のギルドをさっさと見捨て私と一緒に真の槍術を探究しませんか？			蛮勇の槍術士							
……フッ、今すぐ答えなくても結構ですよ。あなたも、いずれ私の考えを理解できるでしょう。それでは、またいずれ……。			……フッ、今すぐ答えなくても結構ですよ。あなたも、いずれ私の考えを理解できるでしょう。それでは、またいずれ……。			蛮勇の槍術士							
(仮)にぎやかし381_森			(仮)にぎやかし381_森			蛮勇の槍術士							
無事だったか！戻ってきた槍術士から、話は聞いた。			無事だったか！戻ってきた槍術士から、話は聞いた。			蛮勇の槍術士							
フールクの野郎に、試練を強いられたらしいな。危険に飛び込むことで「勇気」が磨かれるだなどと……ふざけたことを。			フールクの野郎に、試練を強いられたらしいな。危険に飛び込むことで「勇気」が磨かれるだなどと……ふざけたことを。			蛮勇の槍術士							
何度でも言う、「勇気」とは危険に飛び込むことじゃない。「乱されぬ心」と「動じぬ心」を持つことだ。この「ふたつの心」こそが、槍術の力を引き出すのだ。			何度でも言う、「勇気」とは危険に飛び込むことじゃない。「乱されぬ心」と「動じぬ心」を持つことだ。この「ふたつの心」こそが、槍術の力を引き出すのだ。			蛮勇の槍術士							
お前がフールクに与えられた危険を制する事ができたのは、ほかでもない、この「ふたつの心」……正しき勇気を学んでいたからだ。			お前がフールクに与えられた危険を制する事ができたのは、ほかでもない、この「ふたつの心」……正しき勇気を学んでいたからだ。			蛮勇の槍術士							
アンガード・トレントに動じることなく、アルファウルフに囲まれても心を乱されなかった。槍術の力を最大限に引き出し、強敵との戦いを切り抜けられた。			アンガード・トレントに動じることなく、アルファウルフに囲まれても心を乱されなかった。槍術の力を最大限に引き出し、強敵との戦いを切り抜けられた。			蛮勇の槍術士							
……腕を上げたな、Forename。その力を認め、槍術士ギルドに伝わる技「ピアシングタロン」を、伝授してやろう。			……腕を上げたな、Forename。その力を認め、槍術士ギルドに伝わる技「ピアシングタロン」を、伝授してやろう。			蛮勇の槍術士							
歪んだ勇気を掲げる槍術士「フールク」を放ってはおけん。特にお前は、あいつに気に入られているようだしな。……いずれ、決着をつけねばならんだろう。			歪んだ勇気を掲げる槍術士「フールク」を放ってはおけん。特にお前は、あいつに気に入られているようだしな。……いずれ、決着をつけねばならんだろう。			蛮勇の槍術士							
だが今は、目の前のことに集中しろ。俺が教えた技を使いこなし、槍術の力を引き出すためにいっそう腕を磨いてきな。			だが今は、目の前のことに集中しろ。俺が教えた技を使いこなし、槍術の力を引き出すためにいっそう腕を磨いてきな。			蛮勇の槍術士							
敵の気配を感じた！！			敵の気配を感じた！！			蛮勇の槍術士							
クエスト「蛮勇の槍術士」のバトルを開始しますか？			クエスト「蛮勇の槍術士」のバトルを開始しますか？			蛮勇の槍術士							
はい			はい			蛮勇の槍術士							
いいえ			いいえ			蛮勇の槍術士							
アルファウルフの「ナーヴセバー」をくらえば、身体は麻痺し、死あるのみです。			アルファウルフの「ナーヴセバー」をくらえば、身体は麻痺し、死あるのみです。			蛮勇の槍術士							
果たしてあなたは、死の恐怖に直面しつつ敵の動きを見極め、技を避けられますか？			果たしてあなたは、死の恐怖に直面しつつ敵の動きを見極め、技を避けられますか？			蛮勇の槍術士							
この極限状況こそ、あなたの勇気を磨き、あなたを強くするのです！			この極限状況こそ、あなたの勇気を磨き、あなたを強くするのです！			蛮勇の槍術士							
やはり私が目をつけただけのことはありますね。では、こうしたらいかがでしょう……？			やはり私が目をつけただけのことはありますね。では、こうしたらいかがでしょう……？			蛮勇の槍術士							
フハハハハ、何も見えませんか？あなたの勇気で、この状況すら乗り越えてみせてください！			フハハハハ、何も見えませんか？あなたの勇気で、この状況すら乗り越えてみせてください！			蛮勇の槍術士							
おやっ、アルファウルフが本気を出してきたようですね？			おやっ、アルファウルフが本気を出してきたようですね？			蛮勇の槍術士							
これにて、私は戦闘を降ります。あなたの勇気を、じっくりと見せていただくとしましょう。			これにて、私は戦闘を降ります。あなたの勇気を、じっくりと見せていただくとしましょう。			蛮勇の槍術士							
まさか、私としたことがっ……！			まさか、私としたことがっ……！			蛮勇の槍術士							
槍術士ギルドマスター、イウェインは、冒険者に勇気を磨く試練を課そうとしている。			槍術士ギルドマスター、イウェインは、冒険者に勇気を磨く試練を課そうとしている。			勇気の丸石							
中央森林にある「裸岩の丘」に向かい、頂上の「勇気の丸石」を入手せよとのこと。「裸岩の丘」は、魔物アノールの縄張りだ。しっかり準備をして向かおう。			中央森林にある「裸岩の丘」に向かい、頂上の「勇気の丸石」を入手せよとのこと。「裸岩の丘」は、魔物アノールの縄張りだ。しっかり準備をして向かおう。			勇気の丸石							
冒険者が入手した石は、偽物にすり替えられていた。本物の「勇気の丸石」を手に入れるため、「ウォーレン牢獄」へ向かおう。			冒険者が入手した石は、偽物にすり替えられていた。本物の「勇気の丸石」を手に入れるため、「ウォーレン牢獄」へ向かおう。			勇気の丸石							
勇気の丸石を手に入れることができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			勇気の丸石を手に入れることができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			勇気の丸石							
危険の中でこそ勇気が磨かれると言う、謎の槍術士「フールク」。彼のことをイウェインに告げると、フールクの言葉を信じぬよう説かれる。ギルドで教わった「ふたつの心」を胸に、鍛錬に励もう。※槍術士のレベルが15以上になると、イウェインから次の槍術士クエストを受注することができます。			危険の中でこそ勇気が磨かれると言う、謎の槍術士「フールク」。彼のことをイウェインに告げると、フールクの言葉を信じぬよう説かれる。ギルドで教わった「ふたつの心」を胸に、鍛錬に励もう。※槍術士のレベルが15以上になると、イウェインから次の槍術士クエストを受注することができます。			勇気の丸石							
裸岩の丘で勇気の丸石を入手			裸岩の丘で勇気の丸石を入手			勇気の丸石							
ウォーレン牢獄で勇気の丸石を入手			ウォーレン牢獄で勇気の丸石を入手			勇気の丸石							
槍術士ギルドのイウェインに勇気の丸石を渡す			槍術士ギルドのイウェインに勇気の丸石を渡す			勇気の丸石							
よ、待ってたぜ。一段と腕を上げてきたようだな。			よ、待ってたぜ。一段と腕を上げてきたようだな。			勇気の丸石							
前回、お前は「ふたつの心」を学んだ。それは「乱されぬ心」と「動じぬ心」……これらこそ、槍の真価を引き出す「勇気」だと教えたな。			前回、お前は「ふたつの心」を学んだ。それは「乱されぬ心」と「動じぬ心」……これらこそ、槍の真価を引き出す「勇気」だと教えたな。			勇気の丸石							
これからは、お前が学んだその「勇気」を、実戦を通して磨きあげていくんだ。			これからは、お前が学んだその「勇気」を、実戦を通して磨きあげていくんだ。			勇気の丸石							
戦う準備はできているな？それじゃ、早速、試練について説明しよう。			戦う準備はできているな？それじゃ、早速、試練について説明しよう。			勇気の丸石							
今回、お前を待ち受けているのは、「敵の群れをかいくぐる」試練だ。			今回、お前を待ち受けているのは、「敵の群れをかいくぐる」試練だ。			勇気の丸石							
敵の群れの中を進むということは、いつ、どこから襲われるか分からぬということ。さらに、敵に取り囲まれる危険があるということだ。			敵の群れの中を進むということは、いつ、どこから襲われるか分からぬということ。さらに、敵に取り囲まれる危険があるということだ。			勇気の丸石							
突然、敵に襲われた時、果たして「動じずに」いられるか？四方を囲まれた時、心を「乱されずに」いられるか？			突然、敵に襲われた時、果たして「動じずに」いられるか？四方を囲まれた時、心を「乱されずに」いられるか？			勇気の丸石							
この試練を乗り越えることで、お前の「勇気」はいっそう磨かれるだろう。			この試練を乗り越えることで、お前の「勇気」はいっそう磨かれるだろう。			勇気の丸石							
